block_type,grid,epoch,acc_channel_real_4dir,acc_channel_same_row_4,acc_channel_same_perm_4,acc_channel_rand_perm_4,delta_direction,order_utilization
gru,32,57,0.6608,0.6392,0.5696,0.5715,0.021600000000000064,
gru,32,58,0.6571,0.6415,0.5704,0.562,0.015600000000000058,
gru,32,59,0.6627,0.6459,0.5673,0.5676,0.016799999999999926,
gru,32,60,0.6639,0.6491,0.5706,0.5694,0.014800000000000035,
gru,32,61,0.6606,0.6451,0.5695,0.5671,0.015499999999999958,
gru,32,62,0.6692,0.6434,0.5685,0.5691,0.025800000000000045,
gru,32,63,0.6629,0.6406,0.573,0.571,0.022300000000000098,
gru,32,64,0.6655,0.6406,0.5706,0.5693,0.024900000000000033,
gru,32,65,0.6679,0.6475,0.5757,0.5743,0.020400000000000085,
gru,32,66,0.6697,0.6499,0.5721,0.5677,0.01979999999999993,
gru,32,67,0.669,0.6503,0.5746,0.57,0.01870000000000005,
gru,32,68,0.6726,0.6507,0.5713,0.5749,0.02190000000000003,
gru,32,69,0.6714,0.6505,0.5722,0.5777,0.02090000000000003,
gru,32,70,0.6739,0.6509,0.5746,0.5751,0.02300000000000002,
gru,32,71,0.6718,0.6528,0.5731,0.5725,0.018999999999999906,
gru,32,72,0.6758,0.657,0.5743,0.5781,0.018799999999999928,
gru,32,73,0.678,0.6534,0.5781,0.5772,0.024600000000000066,
gru,32,74,0.6754,0.6595,0.5779,0.5781,0.015900000000000025,
gru,32,75,0.6719,0.6539,0.58,0.5766,0.018000000000000016,
gru,32,76,0.6761,0.6552,0.5722,0.5742,0.02090000000000003,
gru,32,77,0.6752,0.6615,0.5751,0.5794,0.013700000000000045,
gru,32,78,0.6773,0.66,0.5786,0.5772,0.017299999999999982,
gru,32,79,0.6801,0.6578,0.5788,0.5782,0.022299999999999986,
gru,32,80,0.6777,0.6523,0.5783,0.5745,0.025399999999999978,
gru,32,81,0.6795,0.6601,0.5779,0.5768,0.019399999999999973,
gru,32,82,0.6772,0.6577,0.5782,0.5781,0.019500000000000073,
gru,32,83,0.6813,0.6624,0.5812,0.5779,0.018900000000000028,
gru,32,84,0.6805,0.6579,0.5772,0.5785,0.022599999999999953,
gru,32,85,0.6806,0.6647,0.58,0.5803,0.015900000000000025,
gru,32,86,0.6798,0.657,0.5768,0.5793,0.02279999999999993,
gru,32,87,0.6798,0.6626,0.5812,0.5812,0.017199999999999993,
gru,32,88,0.6844,0.6645,0.5798,0.5821,0.01990000000000003,
gru,32,89,0.6802,0.6622,0.5775,0.5816,0.018000000000000016,
gru,32,90,0.682,0.6626,0.5779,0.5787,0.019400000000000084,
gru,32,91,0.6839,0.6643,0.579,0.5808,0.01959999999999995,
gru,32,92,0.6825,0.6622,0.5797,0.5803,0.020299999999999985,
gru,32,93,0.6822,0.6612,0.5814,0.5795,0.02100000000000002,
gru,32,94,0.6817,0.662,0.5792,0.5801,0.01969999999999994,
gru,32,95,0.683,0.6637,0.5798,0.5816,0.019300000000000095,
gru,32,96,0.683,0.663,0.5804,0.581,0.020000000000000018,
gru,32,97,0.6817,0.6637,0.5795,0.5805,0.018000000000000016,
gru,32,98,0.6828,0.6634,0.5801,0.5809,0.019399999999999973,
gru,32,99,0.6828,0.6636,0.5803,0.5805,0.019199999999999995,
gru,32,100,0.6828,0.6636,0.5803,0.5805,0.019199999999999995,
mamba,8,1,0.2766,0.2756,0.2578,0.2574,0.0010000000000000009,
mamba,8,2,0.3561,0.3626,0.3329,0.3247,-0.00649999999999995,
mamba,8,3,0.4214,0.4157,0.3855,0.3775,0.005699999999999983,
mamba,8,4,0.4299,0.4374,0.3949,0.3904,-0.007500000000000007,
mamba,8,5,0.4658,0.4791,0.4372,0.4211,-0.013300000000000034,
mamba,8,6,0.4968,0.5122,0.463,0.4534,-0.01539999999999997,
mamba,8,7,0.5265,0.533,0.504,0.501,-0.006500000000000061,
mamba,8,8,0.5468,0.5446,0.5096,0.5063,0.0021999999999999797,
mamba,8,9,0.553,0.5647,0.5067,0.5126,-0.011699999999999933,
mamba,8,10,0.5748,0.5745,0.5253,0.5181,0.00029999999999996696,
mamba,8,11,0.5788,0.5808,0.5304,0.5374,-0.0020000000000000018,
mamba,8,12,0.5677,0.5887,0.5427,0.5439,-0.02100000000000002,
mamba,8,13,0.6006,0.5908,0.5501,0.5539,0.009800000000000031,
mamba,8,14,0.6022,0.6081,0.5593,0.5569,-0.005900000000000016,
mamba,8,15,0.5992,0.6092,0.5559,0.5576,-0.010000000000000009,
mamba,8,16,0.6096,0.6081,0.5642,0.5541,0.0015000000000000568,
mamba,8,17,0.6204,0.6155,0.5724,0.5626,0.004899999999999904,
mamba,8,18,0.6274,0.6226,0.5652,0.5741,0.0047999999999999154,
mamba,8,19,0.6208,0.633,0.581,0.5799,-0.012199999999999989,
mamba,8,20,0.6372,0.6388,0.586,0.5776,-0.0016000000000000458,
mamba,8,21,0.6241,0.6324,0.5865,0.5883,-0.008299999999999974,
mamba,8,22,0.6344,0.6306,0.5705,0.5798,0.0037999999999999146,
mamba,8,23,0.6423,0.6308,0.5932,0.5889,0.011499999999999955,
mamba,8,24,0.6285,0.6407,0.5977,0.5869,-0.0122000000000001,
mamba,8,25,0.6477,0.6437,0.5915,0.5996,0.0040000000000000036,
mamba,8,26,0.6453,0.639,0.5875,0.5831,0.006299999999999972,
mamba,8,27,0.6482,0.6495,0.6063,0.5931,-0.0012999999999999678,
mamba,8,28,0.6523,0.643,0.6054,0.6065,0.009299999999999975,
mamba,8,29,0.6586,0.6619,0.6083,0.5987,-0.0033000000000000806,
mamba,8,30,0.6532,0.6534,0.6057,0.6132,-0.00019999999999997797,
mamba,8,31,0.6517,0.6588,0.6153,0.614,-0.007100000000000106,
mamba,8,32,0.6591,0.6601,0.6099,0.6209,-0.0010000000000000009,
mamba,8,33,0.6694,0.6633,0.6206,0.6231,0.006099999999999994,
mamba,8,34,0.6697,0.6642,0.6175,0.6115,0.005499999999999949,
mamba,8,35,0.6646,0.6658,0.6202,0.6183,-0.0011999999999999789,
mamba,8,36,0.6607,0.6665,0.6241,0.6281,-0.005800000000000027,
mamba,8,37,0.6664,0.663,0.6198,0.6152,0.0033999999999999586,
mamba,8,38,0.6705,0.6698,0.6185,0.6186,0.0007000000000000339,
mamba,8,39,0.6689,0.6683,0.6257,0.6206,0.0006000000000000449,
mamba,8,40,0.6733,0.6732,0.6301,0.625,9.999999999998899e-05,
mamba,8,41,0.6773,0.6726,0.6324,0.6362,0.0047000000000000375,
mamba,8,42,0.671,0.6745,0.6229,0.6175,-0.0034999999999999476,
mamba,8,43,0.6687,0.6756,0.6425,0.6267,-0.006900000000000017,
mamba,8,44,0.6754,0.6779,0.6357,0.642,-0.0024999999999999467,
mamba,8,45,0.6812,0.6809,0.644,0.6422,0.000300000000000078,
mamba,8,46,0.6823,0.688,0.6434,0.6415,-0.005699999999999927,
mamba,8,47,0.6798,0.6868,0.6423,0.6452,-0.007000000000000006,
mamba,8,48,0.6837,0.685,0.6392,0.6355,-0.0013000000000000789,
mamba,8,49,0.6827,0.6875,0.6469,0.637,-0.0048000000000000265,
mamba,8,50,0.6788,0.6784,0.6387,0.6318,0.00039999999999995595,
mamba,8,51,0.6789,0.687,0.6499,0.6581,-0.008100000000000107,
mamba,8,52,0.6852,0.6884,0.647,0.6448,-0.0031999999999999806,
mamba,8,53,0.6861,0.6932,0.6466,0.6443,-0.007099999999999995,
mamba,8,54,0.6977,0.6883,0.649,0.6533,0.009399999999999964,
mamba,8,55,0.6911,0.6795,0.6484,0.6516,0.011600000000000055,
mamba,8,56,0.6847,0.6893,0.647,0.6427,-0.0046000000000000485,
mamba,8,57,0.6909,0.6928,0.6464,0.6491,-0.0019000000000000128,
mamba,8,58,0.6969,0.6831,0.6516,0.6528,0.013799999999999923,
mamba,8,59,0.6963,0.6923,0.6474,0.6538,0.0040000000000000036,
mamba,8,60,0.6934,0.7005,0.6556,0.658,-0.007099999999999995,
mamba,8,61,0.6961,0.7008,0.6573,0.6587,-0.0046999999999999265,
mamba,8,62,0.6968,0.6948,0.653,0.6547,0.0020000000000000018,
mamba,8,63,0.6961,0.6944,0.6599,0.6526,0.0017000000000000348,
mamba,8,64,0.7012,0.6982,0.6553,0.6598,0.0030000000000000027,
mamba,8,65,0.7005,0.7019,0.6612,0.6598,-0.0013999999999999568,
mamba,8,66,0.6916,0.6994,0.6566,0.6649,-0.007800000000000029,
mamba,8,67,0.7054,0.7011,0.6638,0.6706,0.0043000000000000815,
