block_type,grid,variant,pair,branch_dir_i,branch_dir_j,cka_spatial,cka_pooled,cosine
gru,16,same_row_4,1-3,row,row,0.5061008930206299,0.47105202078819275,0.09246932411193848
gru,16,same_row_4,2-3,row,row,0.4456661641597748,0.4338812828063965,0.05396369838714599
gru,32,real_4dir,0-1,row,col,0.3183751702308655,0.26814600825309753,0.026563647270202637
gru,32,real_4dir,0-2,row,diag,0.3349372446537018,0.31023019552230835,0.04336857891082763
gru,32,real_4dir,0-3,row,anti_diag,0.3213496804237366,0.28960928320884705,0.04660465621948242
gru,32,real_4dir,1-2,col,diag,0.4254789650440216,0.3974163234233856,0.02267327404022217
gru,32,real_4dir,1-3,col,anti_diag,0.4256856143474579,0.3933714032173157,0.01966143870353699
gru,32,real_4dir,2-3,diag,anti_diag,0.4882076680660248,0.4952678978443146,0.0664398193359375
gru,32,same_row_4,0-1,row,row,0.4089116156101227,0.38991785049438477,0.08598688697814941
gru,32,same_row_4,0-2,row,row,0.36470362544059753,0.33656078577041626,0.09061743354797364
gru,32,same_row_4,0-3,row,row,0.4187634289264679,0.3829711377620697,0.06653195476531983
gru,32,same_row_4,1-2,row,row,0.3746814727783203,0.3373909294605255,0.042162712097167966
gru,32,same_row_4,1-3,row,row,0.37783679366111755,0.3335227370262146,0.04703310108184815
gru,32,same_row_4,2-3,row,row,0.43046486377716064,0.40508073568344116,0.07337429237365722
mamba,8,real_4dir,0-1,row,col,0.3628692030906677,0.35571926832199097,0.07117484092712402
mamba,8,real_4dir,0-2,row,diag,0.24559761583805084,0.21129073202610016,0.047221793174743655
mamba,8,real_4dir,0-3,row,anti_diag,0.3639070689678192,0.3429841995239258,0.0630022258758545
mamba,8,real_4dir,1-2,col,diag,0.28559353947639465,0.27505216002464294,0.0622736759185791
mamba,8,real_4dir,1-3,col,anti_diag,0.3766881823539734,0.37974703311920166,0.06398046112060547
mamba,8,real_4dir,2-3,diag,anti_diag,0.3283015489578247,0.31418824195861816,0.0616078405380249
mamba,8,same_row_4,0-1,row,row,0.2888112962245941,0.24079139530658722,0.07325957679748535
mamba,8,same_row_4,0-2,row,row,0.3282218277454376,0.3262077569961548,0.08026352500915528
mamba,8,same_row_4,0-3,row,row,0.40347129106521606,0.39783066511154175,0.11399169540405274
mamba,8,same_row_4,1-2,row,row,0.2977179288864136,0.23495934903621674,0.06286243629455567
