block_type,task_dir,grid_size,signal_strength,pos_mode,row_mean,row_std,col_mean,col_std,diag_mean,diag_std,anti_diag_mean,anti_diag_std,gap_col_minus_row,gap_row_minus_col,gap_diag_minus_row,gap_diag_minus_col
mamba,diagonal,32,single_patch,xy_learned,0.5149739583333334,0.008746763569364846,0.5081380208333334,0.006781467010416556,0.5266927083333334,0.016845506553301578,1.0,0.0,,,0.01171875,0.0185546875
mamba,diagonal,32,single_pixel,none,0.5100911458333334,0.011754863336762882,0.5052083333333334,0.007235062099900022,0.4957682291666667,0.019569190579673355,0.5120442708333334,0.009445714927439394,,,-0.014322916666666685,-0.009440104166666685
mamba,diagonal,32,single_pixel,xy_learned,0.5029296875,0.006526672413985489,0.51171875,0.006812646333481885,0.5045572916666666,0.019955250161450656,0.517578125,0.02260905645076216,,,0.0016276041666666297,-0.00716145833333337
mamba,horizontal,8,single_patch,none,1.0,0.0,0.5182291666666666,0.0113419605404846,0.8421223958333334,0.22327264900747104,0.521484375,0.014767312789340827,,0.48177083333333337,,
mamba,horizontal,8,single_patch,xy_learned,1.0,0.0,0.9990234375,0.0013810679320049757,1.0,0.0,0.5221354166666666,0.014623097295062632,,0.0009765625,,
mamba,horizontal,8,single_pixel,none,0.5221354166666666,0.009969656791089554,0.5149739583333334,0.006444983682689886,0.5188802083333334,0.003222491841344943,0.5227864583333334,0.007986877699469595,,0.007161458333333259,,
mamba,horizontal,8,single_pixel,xy_learned,0.525390625,0.0028749221570077625,0.5208333333333334,0.01088427962063834,0.5208333333333334,0.007986877699469595,0.5224609375,0.008985790196511889,,0.00455729166666663,,
mamba,horizontal,16,single_patch,none,0.9996744791666666,0.0004603559773349919,0.4934895833333333,0.0004603559773349919,0.5100911458333334,0.00766185045308582,0.5065104166666666,0.0020066451832581305,,0.5061848958333333,,
mamba,horizontal,16,single_patch,xy_learned,1.0,0.0,0.498046875,0.001594719884624465,0.5003255208333334,0.014046516282806912,0.5026041666666666,0.0012179874305904756,,0.501953125,,
mamba,horizontal,16,single_pixel,none,0.5,0.01441877251975918,0.5110677083333334,0.015833836597676183,0.5087890625,0.012531495152942811,0.5061848958333334,0.003682847818679935,,-0.01106770833333337,,
mamba,horizontal,16,single_pixel,xy_learned,0.4925130208333333,0.010096394804212774,0.4931640625,0.006019935549774391,0.494140625,0.007606329066111929,0.4983723958333333,0.010096394804212774,,-0.0006510416666666852,,
mamba,horizontal,24,single_patch,none,1.0,0.0,0.5146484375,0.007087090187850665,0.5172526041666666,0.005877431668381441,0.5198567708333334,0.010283573567012575,,0.4853515625,,
mamba,horizontal,24,single_patch,xy_learned,1.0,0.0,0.5130208333333334,0.008819151812593793,0.50390625,0.008985790196511889,0.51953125,0.008624766471023289,,0.48697916666666663,,
mamba,horizontal,24,single_pixel,none,0.5029296875,0.0028749221570077625,0.5071614583333334,0.004603559773349919,0.5231119791666666,0.009969656791089554,0.517578125,0.013970874826741494,,-0.00423177083333337,,
mamba,horizontal,24,single_pixel,xy_learned,0.5113932291666666,0.0020066451832581305,0.5123697916666666,0.002800236089532105,0.5133463541666666,0.010252614419286212,0.509765625,0.012039871099548781,,-0.0009765625,,
mamba,horizontal,32,single_patch,none,0.953125,0.06629126073623882,0.5192057291666666,0.006037512041338349,0.5152994791666666,0.007408728305169949,0.51953125,0.0034756114101664425,,0.43391927083333337,,
mamba,horizontal,32,single_patch,xy_learned,1.0,0.0,0.5048828125,0.014767312789340827,0.5198567708333334,0.010096394804212774,0.5071614583333334,0.009512785935027641,,0.4951171875,,
mamba,horizontal,32,single_pixel,none,0.509765625,0.025701719978062348,0.5139973958333334,0.01479598721010874,0.5185546875,0.017378057050832212,0.53125,0.01898654501486678,,-0.00423177083333337,,
mamba,horizontal,32,single_pixel,xy_learned,0.5071614583333334,0.006089937152952378,0.515625,0.025062990305885623,0.5107421875,0.013555119019307952,0.5270182291666666,0.008783032267729193,,-0.00846354166666663,,
mamba,vertical,8,single_patch,none,0.7532552083333334,0.19630660637118053,1.0,0.0,0.7389322916666666,0.18986935680498138,0.8336588541666666,0.20365068278672888,0.24674479166666663,,,
mamba,vertical,8,single_patch,xy_learned,0.6865234375,0.2216703662228969,1.0,0.0,0.6923828125,0.21786902914147635,1.0,0.0,0.3134765625,,,
mamba,vertical,8,single_pixel,none,0.5182291666666666,0.010375896777675277,0.533203125,0.009959022487485907,0.5260416666666666,0.0048719497223619025,0.5123697916666666,0.0033196741624953027,0.01497395833333337,,,
mamba,vertical,8,single_pixel,xy_learned,0.513671875,0.014374610785038813,0.5244140625,0.0088790245423085,0.5244140625,0.008624766471023289,0.529296875,0.007853084688681523,0.0107421875,,,
mamba,vertical,16,single_patch,none,0.5094401041666666,0.007146646614615934,1.0,0.0,0.5188802083333334,0.006395469630334798,0.5159505208333334,0.00852591201413333,0.49055989583333337,,,
mamba,vertical,16,single_patch,xy_learned,0.5071614583333334,0.008890950705564884,1.0,0.0,0.5188802083333334,0.01220594613232596,0.5218098958333334,0.020949990767843863,0.49283854166666663,,,
mamba,vertical,16,single_pixel,none,0.5013020833333334,0.0018414239093399675,0.5006510416666666,0.006037512041338349,0.5100911458333334,0.002800236089532105,0.5100911458333334,0.012412549456339595,-0.0006510416666667407,,,
mamba,vertical,16,single_pixel,xy_learned,0.5068359375,0.00443951227115425,0.5143229166666666,0.012514572126784562,0.5061848958333334,0.009612515013172786,0.5172526041666666,0.008066088342033768,0.00748697916666663,,,
mamba,vertical,24,single_patch,none,0.5078125,0.004219232225525951,1.0,0.0,0.5052083333333334,0.004806257506586393,0.5087890625,0.009400735076948993,0.4921875,,,
mamba,vertical,24,single_patch,xy_learned,0.5113932291666666,0.005309084124446644,1.0,0.0,0.5113932291666666,0.007190990245564623,0.5169270833333334,0.003682847818679935,0.48860677083333337,,,
mamba,vertical,24,single_pixel,none,0.4986979166666667,0.0048719497223619025,0.5224609375,0.011163039192371254,0.5123697916666666,0.0012179874305904756,0.501953125,0.0028749221570077625,0.023763020833333315,,,
mamba,vertical,24,single_pixel,xy_learned,0.5130208333333334,0.01167345122203197,0.5143229166666666,0.02148930656783725,0.5003255208333334,0.003222491841344943,0.4993489583333333,0.006687056830785852,0.0013020833333332593,,,
mamba,vertical,32,single_patch,none,0.5234375,0.011745845411893694,1.0,0.0,0.5152994791666666,0.0170331711613947,0.5198567708333334,0.00687458075584078,0.4765625,,,
mamba,vertical,32,single_patch,xy_learned,0.5192057291666666,0.014001180447660525,1.0,0.0,0.5169270833333334,0.0035954951227823114,0.517578125,0.02219756135577125,0.48079427083333337,,,
mamba,vertical,32,single_pixel,none,0.5182291666666666,0.002563153604821553,0.5061848958333334,0.005656948957351161,0.515625,0.005581519596185627,0.5087890625,0.00443951227115425,-0.01204427083333326,,,
