block_type,task_dir,branch_dirs,grid_size,signal_strength,pos_mode,seed,best_acc,last_acc,param_count,elapsed_sec,skipped,skip_reason
gru,vertical,diag,32,single_pixel,xy_learned,2,0.5166015625,0.5166015625,57730,22.850062131881714,False,
gru,vertical,anti_diag,8,single_patch,none,0,0.5224609375,0.5166015625,53634,4.983417987823486,False,
gru,vertical,anti_diag,8,single_patch,none,1,0.5244140625,0.4873046875,53634,5.09062123298645,False,
gru,vertical,anti_diag,8,single_patch,none,2,0.5126953125,0.50390625,53634,4.894890785217285,False,
gru,vertical,anti_diag,8,single_patch,xy_learned,0,0.5126953125,0.5078125,54658,4.91910457611084,False,
gru,vertical,anti_diag,8,single_patch,xy_learned,1,0.5126953125,0.5029296875,54658,4.914865255355835,False,
gru,vertical,anti_diag,8,single_patch,xy_learned,2,0.5126953125,0.5009765625,54658,4.9851603507995605,False,
gru,vertical,anti_diag,8,single_pixel,none,0,0.5400390625,0.5400390625,53634,5.088413953781128,False,
gru,vertical,anti_diag,8,single_pixel,none,1,0.521484375,0.4990234375,53634,5.3391478061676025,False,
gru,vertical,anti_diag,8,single_pixel,none,2,0.517578125,0.517578125,53634,5.143167972564697,False,
gru,vertical,anti_diag,8,single_pixel,xy_learned,0,0.5263671875,0.5263671875,54658,5.119737386703491,False,
gru,vertical,anti_diag,8,single_pixel,xy_learned,1,0.51953125,0.517578125,54658,5.143687009811401,False,
gru,vertical,anti_diag,8,single_pixel,xy_learned,2,0.5283203125,0.5283203125,54658,5.035524368286133,False,
gru,vertical,anti_diag,16,single_patch,none,0,0.5048828125,0.501953125,53634,7.796288251876831,False,
gru,vertical,anti_diag,16,single_patch,none,1,0.498046875,0.4921875,53634,7.817816257476807,False,
gru,vertical,anti_diag,16,single_patch,none,2,0.5234375,0.505859375,53634,8.083397150039673,False,
gru,vertical,anti_diag,16,single_patch,xy_learned,0,0.50390625,0.4892578125,55682,8.392601490020752,False,
gru,vertical,anti_diag,16,single_patch,xy_learned,1,0.5126953125,0.5126953125,55682,8.445710897445679,False,
gru,vertical,anti_diag,16,single_patch,xy_learned,2,0.5234375,0.5234375,55682,8.094753503799438,False,
gru,vertical,anti_diag,16,single_pixel,none,0,0.513671875,0.5126953125,53634,9.107969284057617,False,
gru,vertical,anti_diag,16,single_pixel,none,1,0.5302734375,0.5302734375,53634,8.311666250228882,False,
gru,vertical,anti_diag,16,single_pixel,none,2,0.515625,0.5068359375,53634,8.19553828239441,False,
gru,vertical,anti_diag,16,single_pixel,xy_learned,0,0.5205078125,0.49609375,55682,8.082840919494629,False,
gru,vertical,anti_diag,16,single_pixel,xy_learned,1,0.515625,0.515625,55682,8.126479864120483,False,
gru,vertical,anti_diag,16,single_pixel,xy_learned,2,0.5078125,0.4970703125,55682,8.195889472961426,False,
gru,vertical,anti_diag,24,single_patch,none,0,0.4990234375,0.4990234375,53634,12.537202835083008,False,
gru,vertical,anti_diag,24,single_patch,none,1,0.5166015625,0.501953125,53634,12.608298778533936,False,
gru,vertical,anti_diag,24,single_patch,none,2,0.5078125,0.5078125,53634,12.666815996170044,False,
gru,vertical,anti_diag,24,single_patch,xy_learned,0,0.5302734375,0.5205078125,56706,12.695452213287354,False,
gru,vertical,anti_diag,24,single_patch,xy_learned,1,0.5068359375,0.50390625,56706,12.955409526824951,False,
gru,vertical,anti_diag,24,single_patch,xy_learned,2,0.5048828125,0.48828125,56706,12.677077531814575,False,
gru,vertical,anti_diag,24,single_pixel,none,0,0.501953125,0.501953125,53634,12.816041707992554,False,
gru,vertical,anti_diag,24,single_pixel,none,1,0.51171875,0.509765625,53634,12.924435138702393,False,
gru,vertical,anti_diag,24,single_pixel,none,2,0.5078125,0.494140625,53634,12.853698968887329,False,
gru,vertical,anti_diag,24,single_pixel,xy_learned,0,0.5087890625,0.4970703125,56706,13.07630443572998,False,
gru,vertical,anti_diag,24,single_pixel,xy_learned,1,0.5244140625,0.5078125,56706,12.973665237426758,False,
gru,vertical,anti_diag,24,single_pixel,xy_learned,2,0.5107421875,0.4658203125,56706,13.249651432037354,False,
gru,vertical,anti_diag,32,single_patch,none,0,0.5244140625,0.501953125,53634,22.255366325378418,False,
gru,vertical,anti_diag,32,single_patch,none,1,0.509765625,0.509765625,53634,22.611477851867676,False,
gru,vertical,anti_diag,32,single_patch,none,2,0.50390625,0.50390625,53634,22.667603492736816,False,
gru,vertical,anti_diag,32,single_patch,xy_learned,0,0.509765625,0.509765625,57730,22.943746328353882,False,
gru,vertical,anti_diag,32,single_patch,xy_learned,1,0.525390625,0.525390625,57730,24.00566267967224,False,
gru,vertical,anti_diag,32,single_patch,xy_learned,2,0.5185546875,0.5185546875,57730,24.33478569984436,False,
gru,vertical,anti_diag,32,single_pixel,none,0,0.5078125,0.5009765625,53634,23.517995357513428,False,
gru,vertical,anti_diag,32,single_pixel,none,1,0.51171875,0.498046875,53634,22.723438262939453,False,
gru,vertical,anti_diag,32,single_pixel,none,2,0.5078125,0.5078125,53634,22.78854751586914,False,
gru,vertical,anti_diag,32,single_pixel,xy_learned,0,0.494140625,0.4814453125,57730,22.858479976654053,False,
gru,vertical,anti_diag,32,single_pixel,xy_learned,1,0.517578125,0.5166015625,57730,22.95297408103943,False,
gru,vertical,anti_diag,32,single_pixel,xy_learned,2,0.501953125,0.4814453125,57730,22.587472200393677,False,
gru,horizontal,row,8,single_patch,none,0,1.0,1.0,53634,5.072510004043579,False,
gru,horizontal,row,8,single_patch,none,1,1.0,1.0,53634,5.039922475814819,False,
gru,horizontal,row,8,single_patch,none,2,1.0,1.0,53634,4.959460496902466,False,
gru,horizontal,row,8,single_patch,xy_learned,0,1.0,1.0,54658,5.338381767272949,False,
gru,horizontal,row,8,single_patch,xy_learned,1,0.9990234375,0.9990234375,54658,5.126044034957886,False,
gru,horizontal,row,8,single_patch,xy_learned,2,1.0,1.0,54658,5.081444501876831,False,
gru,horizontal,row,8,single_pixel,none,0,0.8017578125,0.8017578125,53634,5.281686782836914,False,
gru,horizontal,row,8,single_pixel,none,1,0.796875,0.796875,53634,5.297521114349365,False,
gru,horizontal,row,8,single_pixel,none,2,0.814453125,0.814453125,53634,5.232017755508423,False,
gru,horizontal,row,8,single_pixel,xy_learned,0,0.9755859375,0.97265625,54658,5.550944566726685,False,
gru,horizontal,row,8,single_pixel,xy_learned,1,0.9658203125,0.958984375,54658,5.398238182067871,False,
gru,horizontal,row,8,single_pixel,xy_learned,2,0.96875,0.966796875,54658,5.298380613327026,False,
gru,horizontal,row,16,single_patch,none,0,1.0,1.0,53634,7.828142404556274,False,
gru,horizontal,row,16,single_patch,none,1,1.0,1.0,53634,7.890000104904175,False,
gru,horizontal,row,16,single_patch,none,2,1.0,1.0,53634,7.954779386520386,False,
gru,horizontal,row,16,single_patch,xy_learned,0,1.0,1.0,55682,7.907697439193726,False,
gru,horizontal,row,16,single_patch,xy_learned,1,1.0,1.0,55682,7.919995546340942,False,
gru,horizontal,row,16,single_patch,xy_learned,2,1.0,1.0,55682,8.200134038925171,False,
gru,horizontal,row,16,single_pixel,none,0,0.5244140625,0.5244140625,53634,8.082594871520996,False,
gru,horizontal,row,16,single_pixel,none,1,0.4931640625,0.4658203125,53634,8.080041885375977,False,
gru,horizontal,row,16,single_pixel,none,2,0.501953125,0.501953125,53634,8.101863622665405,False,
gru,horizontal,row,16,single_pixel,xy_learned,0,0.5029296875,0.5029296875,55682,8.36519193649292,False,
gru,horizontal,row,16,single_pixel,xy_learned,1,0.470703125,0.4658203125,55682,8.167068481445312,False,
gru,horizontal,row,16,single_pixel,xy_learned,2,0.7919921875,0.7919921875,55682,8.324059963226318,False,
gru,horizontal,row,24,single_patch,none,0,0.5166015625,0.5068359375,53634,13.59418272972107,False,
gru,horizontal,row,24,single_patch,none,1,0.50390625,0.494140625,53634,12.437584400177002,False,
gru,horizontal,row,24,single_patch,none,2,0.5068359375,0.501953125,53634,12.43915343284607,False,
gru,horizontal,row,24,single_patch,xy_learned,0,0.52734375,0.52734375,56706,13.927202701568604,False,
gru,horizontal,row,24,single_patch,xy_learned,1,0.509765625,0.498046875,56706,12.907925844192505,False,
gru,horizontal,row,24,single_patch,xy_learned,2,0.51171875,0.5068359375,56706,12.944661617279053,False,
gru,horizontal,row,24,single_pixel,none,0,0.5078125,0.4873046875,53634,12.955980777740479,False,
gru,horizontal,row,24,single_pixel,none,1,0.4990234375,0.498046875,53634,13.058112859725952,False,
gru,horizontal,row,24,single_pixel,none,2,0.5009765625,0.48828125,53634,12.882185220718384,False,
gru,horizontal,row,24,single_pixel,xy_learned,0,0.5146484375,0.50390625,56706,13.003799200057983,False,
gru,horizontal,row,24,single_pixel,xy_learned,1,0.51171875,0.4921875,56706,12.891172170639038,False,
gru,horizontal,row,24,single_pixel,xy_learned,2,0.5009765625,0.4921875,56706,12.95195484161377,False,
gru,horizontal,row,32,single_patch,none,0,0.509765625,0.494140625,53634,22.169034242630005,False,
gru,horizontal,row,32,single_patch,none,1,0.5068359375,0.5068359375,53634,22.308672666549683,False,
gru,horizontal,row,32,single_patch,none,2,0.513671875,0.5087890625,53634,22.479717016220093,False,
gru,horizontal,row,32,single_patch,xy_learned,0,0.5126953125,0.4970703125,57730,22.36805558204651,False,
