block_type,task_dir,branch_dirs,grid_size,signal_strength,pos_mode,seed,backbone_best_acc,backbone_last_acc,probe_best_acc,probe_last_acc,row_distance,col_distance,scan_distance,param_count,probe_param_count,elapsed_sec,skipped,skip_reason
mamba,vertical,row,32,single_patch,xy_learned,2,0.517578125,0.517578125,0.517578125,0.5078125,31.0,0.0,992.0,73090,130,72.95064115524292,False,
mamba,vertical,col,8,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,70018,130,15.916967153549194,False,
mamba,vertical,col,8,single_patch,xy_learned,1,1.0,1.0,1.0,1.0,7.0,0.0,7.0,70018,130,15.674684762954712,False,
mamba,vertical,col,8,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,7.0,0.0,7.0,70018,130,15.889963388442993,False,
mamba,vertical,col,16,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,15.0,0.0,15.0,71042,130,24.177733898162842,False,
mamba,vertical,col,16,single_patch,xy_learned,1,1.0,1.0,1.0,1.0,15.0,0.0,15.0,71042,130,24.72592282295227,False,
mamba,vertical,col,16,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,15.0,0.0,15.0,71042,130,24.3918514251709,False,
mamba,vertical,col,24,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,23.0,0.0,23.0,72066,130,44.578364849090576,False,
mamba,vertical,col,24,single_patch,xy_learned,1,1.0,1.0,1.0,1.0,23.0,0.0,23.0,72066,130,43.14257264137268,False,
mamba,vertical,col,24,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,23.0,0.0,23.0,72066,130,43.12463402748108,False,
mamba,vertical,col,32,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,31.0,0.0,31.0,73090,130,74.12328577041626,False,
mamba,vertical,col,32,single_patch,xy_learned,1,1.0,1.0,1.0,1.0,31.0,0.0,31.0,73090,130,74.89006805419922,False,
mamba,vertical,col,32,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,31.0,0.0,31.0,73090,130,76.3069200515747,False,
mamba,horizontal,row,8,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,0.0,7.0,7.0,70018,130,15.866514205932617,False,
mamba,horizontal,row,8,single_patch,xy_learned,1,1.0,1.0,1.0,1.0,0.0,7.0,7.0,70018,130,15.798729181289673,False,
mamba,horizontal,row,8,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,0.0,7.0,7.0,70018,130,15.802478313446045,False,
