arch,d_model,block_type,grid,variant,seed,micro_batch,accum_steps,epoch,lr,lr_scale,train_loss,train_acc,test_loss,test_acc,train_sec,eval_sec,epoch_wall_sec
channel_split,256,gru,8,channel_real_4dir,4,128,1,19,0.0009473646649103818,0.9473646649103817,0.7891014044101422,0.7196915064102564,0.8143017731666565,0.7137,14.483076822012663,0.7089714966714382,15.192053101956844
channel_split,256,gru,8,channel_real_4dir,4,128,1,20,0.0009397368756032445,0.9397368756032445,0.7813875941129831,0.7238782051282051,0.7901271900177002,0.722,14.561799697577953,0.6038586255162954,15.165662188082933
channel_split,256,gru,8,channel_real_4dir,4,128,1,21,0.000931628240478787,0.931628240478787,0.7678121980948326,0.728525641025641,0.7756440505981446,0.7285,14.794892881065607,0.642086124047637,15.436982844024897
channel_split,256,gru,8,channel_real_4dir,4,128,1,22,0.0009230476262104677,0.9230476262104677,0.7552591629517384,0.7348357371794871,0.7529582427978516,0.7344,14.21178026497364,0.6885640844702721,14.900348363444209
channel_split,256,gru,8,channel_real_4dir,4,128,1,23,0.00091400441557401,0.91400441557401,0.7425391485293706,0.7373397435897436,0.753417024230957,0.736,14.8568314909935,0.8132482599467039,15.670085147023201
channel_split,256,gru,8,channel_real_4dir,4,128,1,24,0.0009045084971874737,0.9045084971874737,0.7328038157560887,0.7422475961538462,0.7874336095809936,0.7242,14.639782059937716,0.7322775144129992,15.372064804658294
channel_split,256,gru,8,channel_real_4dir,4,128,1,25,0.0008945702546981969,0.8945702546981968,0.7232931470259641,0.7464943910256411,0.7498143795013428,0.7387,12.930691696703434,0.7860343046486378,13.716730630025268
channel_split,256,gru,8,channel_real_4dir,4,128,1,26,0.0008842005554284296,0.8842005554284296,0.7151711316444935,0.7474559294871795,0.7413287205696106,0.7381,14.00215863995254,0.7923451401293278,14.79450922831893
channel_split,256,gru,8,channel_real_4dir,4,128,1,27,0.000873410738492077,0.873410738492077,0.7058707947150255,0.7526442307692308,0.7355111399650573,0.7436,14.78848685324192,0.7305692844092846,15.519059889018536
channel_split,256,gru,8,channel_real_4dir,4,128,1,28,0.0008622126023955446,0.8622126023955445,0.6961488015376605,0.7533854166666667,0.7355830792427063,0.743,14.95320482365787,0.6455290000885725,15.59873847104609
channel_split,256,gru,8,channel_real_4dir,4,128,1,29,0.0008506183921362443,0.8506183921362442,0.6915256248070644,0.7567708333333333,0.7107830881118774,0.7514,15.181424554437399,0.703600438311696,15.88502992503345
channel_split,256,gru,8,channel_real_4dir,4,128,1,30,0.0008386407858128706,0.8386407858128706,0.6818700991379909,0.7608373397435897,0.7238125799179077,0.7491,14.786542451009154,0.6910573560744524,15.477604115381837
